Name,Address,Website,Phone
Subway,"Shop No. 16, Adlabs Multiplex, Marigold complex, Kalyani Nagar, Pune",https://subway.in/,N/A
Bhagyashree Restaurant,"Plot No. 169/1+2+3, Tupe Nagar, behind Suzlon Co, Pune",N/A,081491 08787
"Domino's Pizza | Kharadi, Pune","Survey No. 13, Shop No. 4 and 5, Upper Ground Floor, गोल्ड प्लाज़ा, Mundhwa - Kharadi Road, Raghavendra Nagar, Kharadi, Pune",https://www.dominos.co.in/store-location/pune/gold-plaza-kharadi,1800 208 1234
TJ's Brew Works,"East Block, Level, 2, Amanora Town Centre, Hadapsar, Pune",N/A,095080 37956
"Domino's Pizza | Wanawadi, Pune","Shivam Apartments, GROUND FLOOR WING D, 17, Vitthal Rao Shivarkar Road, Wanwadi, Pune",https://www.dominos.co.in/store-location/pune/wanawadi,1800 208 1234
CAFE NEW DIAMOND,"1, Magarpatta, Hadapsar, Pune",N/A,088305 17061
Vaishali Hotel,"Shop no 14, Chintamani Plaza, Solapur - Pune Highway, Gajanan Colony, Utkarsh Nagar, Hadapsar, Pune",N/A,084593 70312
Hotel Aaswad,"Pune - Solapur Road, Gadital, Hadapsar, Pune",N/A,020 2699 3486
Priyanka Restaurant,"Shop No 3 & 4, Building No B/6, Utkarshnagar Co-operative Ltd, Gadital, Hadapsar, Pune",N/A,020 2699 3618
Dial A Chicken,"Survey No. 181, Near Ferns N Petals: Florist & Gift Shop, Next To Swagat, Familly Hotel, Malwadi Road, Behind Amanora Mall, Sadesatara Nali, Pune",N/A,079728 54507
Burger King,"1st Floor, Amanora Mall, EB FF6A & 6B, Amanora Town Centre, Pune",https://stores.burgerking.in/burger-king-fast-food-restaurant-amanora-town-centre-pune-179328/Home?utm_source=locator&utm_medium=googleplaces,086559 12516
Chaat Bazaar,"Amanora Mall, Amanora Town Centre, Amanora Park Town, Hadapsar, Pune",N/A,N/A
Asia Kitchen By Mainland China | Hadapsar,"Amanora Town Centre, Amanora Park Town, Hadapsar, Pune",https://www.speciality.co.in/,093705 79603
Barbeque Nation,"GW9P+G45, Mundhwa - Kharadi Road, Amanora Park Town, Hadapsar, Pune",https://www.barbequenation.com/,080 6902 8725
Agent Jack's (Amanora),"Amanora Mall Ground Floor West Block Next to AZORTE Amanora Town Center, Mundhwa - Kharadi Road, Hadapsar, Pune",http://www.agentjacksbar.com/,090750 22474
"Pizza Hut | Magarpatta, Pune","No 01, Green Harvest, 140/11 & 13, Bldg, Magarpatta, Hadapsar, Pune",https://restaurants.pizzahut.co.in/pizza-hut-hadapsar-pizza-delivery-hadapsar-pune-1370/Home?utm_source=locator&utm_medium=googleplaces,084849 87320
"Domino's Pizza | North Hadapsar, Pune","Ground Floor, S.No. 151 Green Harvest, HISSA NO.15 Kharadi South Main Road Magarpatta City, North Hadapsar, CTS NO.4421, Pune",https://www.dominos.co.in/store-locations/pune/magarpatta?src=local_gmb&utm_source=Google_GMB&utm_medium=GMB_SEO_urls_website,1800 208 1234
McDonald's,"Seasons Mall, Unit No F22 Hadapsar, Magarpatta, Pune",https://mcdelivery.co.in/restaurants/pune/125/order-food-online-in-McDonalds-magarpatta-magarpattahadapsar,089283 04182
Chulbul Dhaba,"beside BP Petrol Pump, Sr.No.141, beside BP Petrol Pump, opposite North Main Gate, Magarpatta, Pune",http://www.chulbuldhaba.com/,083900 10062
Apna Punjab,"next to bharat petrol pump, 1, Magarpatta Road, Magarpatta, Hadapsar, Pune",http://apnapunjabpune.com/,092849 11503
Eagle Boys,"Shop 138, Seasons Mall, Mundwa-Kharadi Road, Hadapsar, Pune",http://eagleboys.co.in/,020 6686 4000
Wah! Marathi,"3rd Floor, SEASONS MALL, Magarpatta Police Station Road, Magarpatta, Pune",http://www.wahmarathi.com/,020 6722 5566
Subway,"Shop NO C6, 3rd Floor, Seasion Mall, Magarpatta Police Station Road, Magarpatta, Hadapsar, Pune",https://subway.in/,020 6723 8530
Rolls Mania,"Unit No. T4A, 3rd Floor, Food court, Seasons mall, Magarpatta, Hadapsar, Pune",http://rollsmania.com/,096073 28855
