Name,Address,Website,Phone
BARISTA COFFEE COMPANY,"SEASONS MALL, 1st Floor, Shop No.S 35 B, Magarpatta Police Station Road, Magarpatta, Pune",http://www.barista.co.in/,N/A
Cafe Arabia - Seasons Mall,"3rd Floor, Seasons Mall Hadapsar, Magarpatta, Hadapsar, Pune",N/A,096233 11115
KFC,"1st Floor, SEASONS MALL, Magarpatta, Hadapsar, Pune",https://online.kfc.co.in/,N/A
Hotel Surya,"29, 1, lonkarnagar, Keshav Nagar, Mundhwa, Pune",http://hotelsuryavilla.com/,091307 50410
"Misal Katta, Keshavnagar","Manjari Road, Lonkar Vasti, Keshav Nagar, Mundhwa, Pune",N/A,N/A
Aryan's Family Restaurant & Bar,"32/2/6, Sr No 26/3 B, Manjari Village Road, Lonkar Wasti, Keshav Nagar, Mundhwa, Mundhwa - Manjari Road, Lonkar Nagar, Sade Satra Nali, Pune",https://technoflybusinesssolutions.com/cards/aryans-restaurant-and-bar-696,091300 09130
Faaso's,"Closed, SHOP NO-23 DESTINATION CENTER UPPER GROUND FLOOR, Magarpatta, Pune",N/A,077000 20020
Happy Crust,"BT-18, DC Road, Magarpatta, Hadapsar, Pune",N/A,099223 88855
Little India,"Shop 23, 24, DC Road, Magarpatta, Hadapsar, Pune",N/A,088550 44924
Treebo Trend Park View - Hotel in Hadapsar Pune,"behind Laxman Villa, S. No. 161, GP Pradhan Garden Road, Bhosale Nagar, Hadapsar, Pune",https://www.treebo.com/hotels-in-pune/treebo-trend-park-view-hadapsar-221/?utm_source=partnerships&utm_medium=gplus&utm_campaign=hotelparkview,093228 00100
bashree hotel behind SBI Bank & SBI ATM.Hadapsar Pune.,"GW5G+HC6, Magarpatta, Hadapsar, Pune",N/A,N/A
Kalyan Bhel,"Laxmi Vihar, Hadapsar, Pune",https://kalyanbhel.in/,093717 11112
Kokkita Restaurant and Bar,"Kokkita Restaurant, near Samidha Gas, Tupe Patil Road, Hadapsar, Pune",N/A,073502 19595
Punjabi Grill,"SHOP NO. 16, Ghule Park, near SHREE MAHALAXMI BIRYANI HOUSE, Tupe Patil Road, Hadapsar, Pune",N/A,098229 86574
Rasika Restaurant,"Shop No. 7, Bhosales Garden's, Aru Nagar, Triveni Nagar, Hadapsar, Pune",N/A,N/A
Pizza Point,"Shop No. 37, Ravi Darshan Shopping Complex, Pune - Solapur Road, Sadhana Society, Hadapsar, Pune",N/A,072767 25445
Authentic Royal Restaurant,"institute of yoga, Authentic Royal Restaurant Behind Noble Hospital, Opposite Shriyog, Bypass Road, Magarpatta, Hadapsar, Pune",N/A,090283 90888
Food Connection,"near Gas godown, Dhaykar wasti, near Gas godown, Hadapsar Station Bridge Path, Pingale Wasti, Mundhwa, Pune",N/A,098818 02777
Prabhat Chicken Center,"Chintamani Plaza, Solapur - Pune Highway, Utkarsh Nagar, Hadapsar, Pune",N/A,080071 99986
Baramati Agro Ltd Chicken Shop,"FWXM+CCR, opp. Sation, near Sai Mindir, Sation, Mundhwa Road, Hadapsar Gaon, Hadapsar, Pune",https://baramatiagro.com/,072762 00816
Hotel Samrat,"FWXX+MQG, Aakashwani Kendra, Pune-Solapur Road, Hadapsar, near Tekawade Petrol Pump & CNG, Pune",N/A,077200 18181
AMIR CHICKEN SHOP,"Bus Stop, Sainath Nagar, Kharadi, Pune",N/A,098503 95915
Gandharva Residency - Hadapsar,"Sr No. 280, 26, Pune - Solapur Road, Laxmi Colony, Hadapsar, Pune",https://gandharvaresidency.com/,080872 04848
Carnival Restaurant & Bar Pune,"Survey no.:- 84/33 Koregaon Park, Mundhwa Road, Pune",N/A,097625 55555
Hotel Vijayraj,"opp. Hadapsar Gliding Center, Sainagar, opp. Hadapsar Gliding Center, Pune Saswad Road, Satavwadi, Hadapsar, Pune",N/A,020 2699 4439
Hotel Sagar,"Shop No 2-3, Deveshree Heights P-H1, Vaiduwadi, Hadapsar,, Pune",N/A,N/A
Kimchi,"Sambhaji Nagar, Kharadi, Opp. Hyundai Showroom, Pune",N/A,080879 88988
Spice Factory,"above ICICI Bank, Mundhwa - Kharadi Road, Kharadi, Pune",N/A,099750 75055
Punjab Flavours,"GWXR+VPW, Kharadi South Main Road, Rakshak Nagar, Kharadi, Pune",N/A,086009 74400
BOX8 - India's Largest Desi Meals Brand,"SSR Tower, IT Park, opp. Zensar I.T. Park, Gera Commerzone IT Park Road, Kharadi, Pune",https://box8.in/,022 3355 2698
Chulbul Dhaba,"Sr. No. 6, opp. Zensar IT Park, 2/23, Kharadi South Main Road, Rakshak Nagar, Kharadi, Pune",http://www.chulbuldhaba.com/,N/A
Satguru's Punjabi Rasoi,"opp. Telephone Exchange, s. No.6/2, Kharadi, Pune-411014, opp. Telephone Exchange, Pune",N/A,080555 70075
Kolkata Rolls : Online Orders Accepted,"shop no.4,Willtek House,, Opp. Zensar tech., Kharadi, Pune",N/A,087885 91767
YA BASA - Kitchen & Bar(Seafood Special),"IT Park, Sr No 6/2/20 Opp Zensar, Kharadi, Pune",http://wcom.me/002ge8m,077200 73535
Texas Tower,"9th Floor, Stellar Spaces, opp. Zensar IT Park, Kharadi South Main Road, Rakshak Nagar, Kharadi, Pune",https://texastower.in/,080878 20044
Monginis Cake Shop,"Sr No 311, Gandharv Geet, Shop No AO2, H No 18, Sasane Nagar Road, Pune",https://cakeshops.monginis.net/monginis-cake-shop-kian-enterprises-sasane-nagar-cake-shop-sasanenagar-pune-165961/Home?utm_source=locator&utm_medium=googleplaces,090750 01616
